to be interested in,interesar,interesando,intereso,interesas,interesa,interesamos,interesan,interesé,interesaste,interesó,interesamos,interesaron
to investigate; to research,investigar,investigando,investigo,investigas,investiga,investigamos,investigan,investigué,investigaste,investigó,investigamos,investigaron
to invite,invitar,invitando,invito,invitas,invita,invitamos,invitan,invité,invitaste,invitó,invitamos,invitaron
to play; to bet,jugar,jugando,juego,juegas,juega,jugamos,juegan,jugué,jugaste,jugó,jugamos,jugaron
to read,leer,leyendo,leo,lees,lee,leemos,leen,leí,leíste,leyó,leímos,leyeron
to call,llamar,llamando,llamo,llamas,llama,llamamos,llaman,llamé,llamaste,llamó,llamamos,llamaron
to arrive,llegar,llegando,llego,llegas,llega,llegamos,llegan,llegué,llegaste,llegó,llegamos,llegaron
to fill,llenar,llenando,lleno,llenas,llena,llenamos,llenan,llené,llenaste,llenó,llenamos,llenaron
to carry; to take; to wear,llevar,llevando,llevo,llevas,lleva,llevamos,llevan,llevé,llevaste,llevó,llevamos,llevaron
to rain,llover,lloviendo,lluevo,llueves,llueve,llovemos,llueven,lloví,lloviste,llovió,llovimos,llovieron
to improve; to get better,mejorar,merorjando,mejoro,mejoras,mejora,mejoramos,mejoran,mejoré,mejoraste,mejoró,mejoramos,mejoraron
to lie,mentir,mintiendo,miento,mientes,miente,mentimos,mienten,mentí,mentiste,mintió,mentimos,mintieron
to look (at); to watch,mirar,mirando,miro,miras,mira,miramos,miran,miré,miraste,miró,miramos,miraron
to die,morir,muriendo,muero,mueres,muere,morimos,mueren,morí,moriste,murió,morimos,murieron
to show,mostrar,mostrando,muestro,muestras,muestra,mostramos,muestran,mostré,mostraste,mostró,mostramos,mostraron
to swim,nadar,nadando,nado,nadas,nada,nadamos,nadan,nadé,nadaste,nadó,nadamos,nadaron
to need,necesitar,necesitando,necesito,necesitas,necesita,necesitamos,necesitan,necesité,necesitaste,necesitó,necesitamos,necesitaron
